name,url,description,test_type,duration,remote_support,adaptive_support
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details



























Use necessary cookies only
Customize
Allow all cookies",Personality & Behavior,Yes,Yes,Unknown
504 Gateway Timeout ERROR,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,Unknown,Unknown,Unknown,Unknown,Unknown
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details



























Use necessary cookies only
Customize
Allow all cookies",Personality & Behavior,Yes,Yes,Unknown
SAP HCM (Human Capital Management) (New),https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details



























Use necessary cookies only
Customize
Allow all cookies",Personality & Behavior,Yes,Yes,Unknown
Spring (New),https://www.shl.com/products/product-catalog/view/spring-new/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details



























Use necessary cookies only
Customize
Allow all cookies",Personality & Behavior,Yes,Yes,Unknown
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details



























Use necessary cookies only
Customize
Allow all cookies",Personality & Behavior,Yes,Yes,Unknown
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details



























Use necessary cookies only
Customize
Allow all cookies",Personality & Behavior,Yes,Yes,Unknown
Smart Interview Live Coding,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details



























Use necessary cookies only
Customize
Allow all cookies",Personality & Behavior,Yes,Yes,Unknown
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details



























Use necessary cookies only
Customize
Allow all cookies",Personality & Behavior,Yes,Yes,Unknown
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,"This Website Uses Cookies
We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.
 View our full SHL Privacy Statement or SHL Cookie Policy
Show details



























Use necessary cookies only
Customize
Allow all cookies",Personality & Behavior,Unknown,Yes,Unknown
